"","skim_type","skim_variable","datasetID","n_missing","complete_rate","character.min","character.max","character.empty","character.n_unique","character.whitespace","factor.ordered","factor.n_unique","factor.top_counts","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100","numeric.hist"
"288","numeric","rel_maxDist","26",7,0.983333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.467426224018484,0.176706157963389,0.0158472618438776,0.353168137765652,0.501569294728295,0.589016090418667,0.800447720160867,"¨y¨z¨|¨~¨y"
"289","numeric","rel_ewDist","5",1,0.995098039215686,NA,NA,NA,NA,NA,NA,NA,NA,0.86348609238575,0.193065648754964,0.0236781857180051,0.855529005500156,0.950521117061793,0.9742942201578,0.9742942201578,"¨x¨x¨x¨x¨~"
"290","numeric","rel_ewDist","6",5,0.978991596638655,NA,NA,NA,NA,NA,NA,NA,NA,0.743784006854414,0.313851495927787,0.00746909215507072,0.5797808899417,0.897139656380946,0.991693329737599,1,"¨x¨y¨x¨y¨~"
"291","numeric","rel_ewDist","13",2,0.989247311827957,NA,NA,NA,NA,NA,NA,NA,NA,0.392534524065715,0.197940874402947,0.00604974575834017,0.249082343218552,0.446119089369071,0.499239467545957,0.708745395492203,"¨z¨y¨z¨~¨z"
"292","numeric","rel_ewDist","26",7,0.983333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.358709341780651,0.156420112445208,0.00532652011300596,0.239418406837,0.38992922379162,0.462888287703231,0.681914983587493,"¨z¨z¨}¨~¨y"
"293","numeric","rel_nsDist","5",1,0.995098039215686,NA,NA,NA,NA,NA,NA,NA,NA,0.847954311835283,0.186221279104088,0.0384544342317781,0.807916256864825,0.923319038254401,0.961756635881378,0.961756635881378,"¨x¨x¨x¨x¨~"
"294","numeric","rel_nsDist","6",5,0.978991596638655,NA,NA,NA,NA,NA,NA,NA,NA,0.764841440832244,0.315977986901587,0.00987771592267525,0.628819900675282,0.942183978803647,0.990275027668663,1,"¨y¨x¨x¨x¨~"
"295","numeric","rel_nsDist","13",2,0.989247311827957,NA,NA,NA,NA,NA,NA,NA,NA,0.461037717513039,0.246143266554337,0.00657225950293538,0.263128955651267,0.497175127532597,0.605309573085624,0.842334274702561,"¨}¨y¨~¨~¨}"
"296","numeric","rel_nsDist","26",7,0.983333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.420422290616857,0.192742640473741,0.0166542890441534,0.247932025580856,0.446708587308754,0.595380261606087,0.818203823497108,"¨z¨}¨|¨~¨y"
"297","numeric","rel_elonRatio","5",1,0.995098039215686,NA,NA,NA,NA,NA,NA,NA,NA,1.03599632280257,0.206988235395759,0.219498634032358,0.986257149257203,1.02130326277711,1.08089184503541,2.18164232874796,"¨x¨z¨~¨x¨x"
"298","numeric","rel_elonRatio","6",5,0.978991596638655,NA,NA,NA,NA,NA,NA,NA,NA,1.2221177172385,0.87805534579711,0.00178726826014952,0.803002477821941,1,1.1961125170736,4.42759048811289,"¨|¨~¨y¨x¨x"
