;variable;group1;group2;n1;n2;statistic;p;p.adj;p.adj.signif
95;Total_area_samp;6;26;238;420;22.457;0.000;0.000;****
96;Total_area_samp;13;26;211;420;12.616;0.000;0.000;****
97;atlas_bearing;5;6;203;233;7.768;0.000;0.000;****
98;atlas_bearing;5;13;203;209;29.579;0.000;0.000;****
99;atlas_bearing;5;26;203;413;21.593;0.000;0.000;****
100;atlas_bearing;6;13;233;209;22.767;0.000;0.000;****
101;atlas_bearing;6;26;233;413;13.487;0.000;0.000;****
102;atlas_bearing;13;26;209;413;-12.534;0.000;0.000;****
103;atlas_bearingMinRect;5;6;203;233;-15.215;0.000;0.000;****
104;atlas_bearingMinRect;5;13;203;209;-7.152;0.000;0.000;****
105;atlas_bearingMinRect;5;26;203;413;-29.934;0.000;0.000;****
106;atlas_bearingMinRect;6;13;233;209;7.936;0.000;0.000;****
107;atlas_bearingMinRect;6;26;233;413;-13.487;0.000;0.000;****
108;atlas_bearingMinRect;13;26;209;413;-21.924;0.000;0.000;****
109;atlas_circ;5;6;203;233;7.768;0.000;0.000;****
110;atlas_circ;5;13;203;209;15.241;0.000;0.000;****
111;atlas_circ;5;26;203;413;29.934;0.000;0.000;****
112;atlas_circ;6;13;233;209;7.936;0.000;0.000;****
113;atlas_circ;6;26;233;413;22.214;0.000;0.000;****
114;atlas_circ;13;26;209;413;12.534;0.000;0.000;****
115;atlas_circNorm;5;6;203;233;7.768;0.000;0.000;****
116;atlas_circNorm;5;13;203;209;15.241;0.000;0.000;****
117;atlas_circNorm;5;26;203;413;29.934;0.000;0.000;****
118;atlas_circNorm;6;13;233;209;7.936;0.000;0.000;****
119;atlas_circNorm;6;26;233;413;22.214;0.000;0.000;****
120;atlas_circNorm;13;26;209;413;12.534;0.000;0.000;****
121;atlas_elonMinRect;5;6;203;233;-7.768;0.000;0.000;****
122;atlas_elonMinRect;5;13;203;209;-15.241;0.000;0.000;****
123;atlas_elonMinRect;5;26;203;413;12.293;0.000;0.000;****
124;atlas_elonMinRect;6;13;233;209;-7.936;0.000;0.000;****
125;atlas_elonMinRect;6;26;233;413;21.963;0.000;0.000;****
126;atlas_elonMinRect;13;26;209;413;30.106;0.000;0.000;****
127;atlas_lengthMinRect;5;6;203;233;7.768;0.000;0.000;****
128;atlas_lengthMinRect;5;13;203;209;15.241;0.000;0.000;****
129;atlas_lengthMinRect;5;26;203;413;29.934;0.000;0.000;****
130;atlas_lengthMinRect;6;13;233;209;7.936;0.000;0.000;****
131;atlas_lengthMinRect;6;26;233;413;22.214;0.000;0.000;****
132;atlas_lengthMinRect;13;26;209;413;12.534;0.000;0.000;****
133;atlas_relCirc;5;6;203;233;12.933;0.000;0.000;****
134;atlas_relCirc;5;13;203;209;25.375;0.000;0.000;****
135;atlas_relCirc;6;13;233;209;13.213;0.000;0.000;****
136;atlas_widthMinRect;5;6;203;233;7.768;0.000;0.000;****
137;atlas_widthMinRect;5;13;203;209;29.579;0.000;0.000;****
138;atlas_widthMinRect;5;26;203;413;21.593;0.000;0.000;****
139;atlas_widthMinRect;6;13;233;209;22.767;0.000;0.000;****
140;atlas_widthMinRect;6;26;233;413;13.487;0.000;0.000;****
141;atlas_widthMinRect;13;26;209;413;-12.534;0.000;0.000;****
142;atlas_xhalf;5;6;203;233;7.768;0.000;0.000;****
143;atlas_xhalf;5;13;203;209;15.241;0.000;0.000;****
144;atlas_xhalf;5;26;203;413;29.934;0.000;0.000;****
145;atlas_xhalf;6;13;233;209;7.936;0.000;0.000;****
146;atlas_xhalf;6;26;233;413;22.214;0.000;0.000;****
147;atlas_xhalf;13;26;209;413;12.534;0.000;0.000;****
148;atlas_xmax;5;6;203;233;7.768;0.000;0.000;****
149;atlas_xmax;5;13;203;209;15.241;0.000;0.000;****
150;atlas_xmax;5;26;203;413;29.934;0.000;0.000;****
151;atlas_xmax;6;13;233;209;7.936;0.000;0.000;****
152;atlas_xmax;6;26;233;413;22.214;0.000;0.000;****
153;atlas_xmax;13;26;209;413;12.534;0.000;0.000;****
154;atlas_xmin;5;6;203;233;7.768;0.000;0.000;****
155;atlas_xmin;5;13;203;209;15.241;0.000;0.000;****
156;atlas_xmin;5;26;203;413;29.934;0.000;0.000;****
157;atlas_xmin;6;13;233;209;7.936;0.000;0.000;****
158;atlas_xmin;6;26;233;413;22.214;0.000;0.000;****
159;atlas_xmin;13;26;209;413;12.534;0.000;0.000;****
160;atlas_yhalf;5;6;203;233;7.768;0.000;0.000;****
161;atlas_yhalf;5;13;203;209;15.241;0.000;0.000;****
162;atlas_yhalf;5;26;203;413;29.934;0.000;0.000;****
163;atlas_yhalf;6;13;233;209;7.936;0.000;0.000;****
164;atlas_yhalf;6;26;233;413;22.214;0.000;0.000;****
165;atlas_yhalf;13;26;209;413;12.534;0.000;0.000;****
166;atlas_ymax;5;6;203;233;7.768;0.000;0.000;****
167;atlas_ymax;5;13;203;209;15.241;0.000;0.000;****
168;atlas_ymax;5;26;203;413;29.934;0.000;0.000;****
169;atlas_ymax;6;13;233;209;7.936;0.000;0.000;****
170;atlas_ymax;6;26;233;413;22.214;0.000;0.000;****
171;atlas_ymax;13;26;209;413;12.534;0.000;0.000;****
172;atlas_ymin;5;6;203;233;15.215;0.000;0.000;****
173;atlas_ymin;5;13;203;209;7.152;0.000;0.000;****
174;atlas_ymin;5;26;203;413;29.934;0.000;0.000;****
175;atlas_ymin;6;13;233;209;-7.936;0.000;0.000;****
176;atlas_ymin;6;26;233;413;13.487;0.000;0.000;****
177;atlas_ymin;13;26;209;413;21.924;0.000;0.000;****
178;circ;5;6;203;233;12.597;0.000;0.000;****
179;circ;5;13;203;209;6.462;0.000;0.000;****
180;circ;5;26;203;413;6.964;0.000;0.000;****
181;circ;6;13;233;209;-6.011;0.000;0.000;****
182;circ;6;26;233;413;-7.477;0.000;0.000;****
183;circ;13;26;209;413;-0.470;0.638;0.638;ns
184;circNorm;5;6;203;233;12.597;0.000;0.000;****
185;circNorm;5;13;203;209;6.462;0.000;0.000;****
186;circNorm;5;26;203;413;6.964;0.000;0.000;****
187;circNorm;6;13;233;209;-6.011;0.000;0.000;****
188;circNorm;6;26;233;413;-7.477;0.000;0.000;****
189;circNorm;13;26;209;413;-0.470;0.638;0.638;ns
190;joincount_delta;5;6;199;233;5.511;0.000;0.000;****
191;joincount_delta;5;13;199;209;3.494;0.000;0.001;***
192;joincount_delta;5;26;199;413;18.308;0.000;0.000;****
193;joincount_delta;6;13;233;209;-1.951;0.051;0.051;ns
194;joincount_delta;6;26;233;413;12.789;0.000;0.000;****
195;joincount_delta;13;26;209;413;14.534;0.000;0.000;****
196;joincount_expectation;5;6;199;233;0.268;0.788;0.937;ns
197;joincount_expectation;5;13;199;209;-6.789;0.000;0.000;****
198;joincount_expectation;5;26;199;413;0.079;0.937;0.937;ns
199;joincount_expectation;6;13;233;209;-7.330;0.000;0.000;****
200;joincount_expectation;6;26;233;413;-0.234;0.815;0.937;ns
201;joincount_expectation;13;26;209;413;8.001;0.000;0.000;****
202;joincount_p_val;5;6;198;227;-14.796;0.000;0.000;****
203;joincount_p_val;5;13;198;203;-3.317;0.001;0.001;***
204;joincount_p_val;5;26;198;413;-22.591;0.000;0.000;****
205;joincount_p_val;6;13;227;203;11.465;0.000;0.000;****
206;joincount_p_val;6;26;227;413;-6.220;0.000;0.000;****
207;joincount_p_val;13;26;203;413;-18.916;0.000;0.000;****
208;joincount_statistic;5;6;199;233;3.304;0.001;0.001;**
209;joincount_statistic;5;13;199;209;-5.915;0.000;0.000;****
210;joincount_statistic;5;26;199;413;4.550;0.000;0.000;****
211;joincount_statistic;6;13;233;209;-9.497;0.000;0.000;****
212;joincount_statistic;6;26;233;413;0.899;0.368;0.368;ns
213;joincount_statistic;13;26;209;413;11.526;0.000;0.000;****
214;joincount_variance;5;6;199;233;5.212;0.000;0.000;****
215;joincount_variance;5;13;199;209;-1.493;0.135;0.163;ns
216;joincount_variance;5;26;199;413;6.787;0.000;0.000;****
217;joincount_variance;6;13;233;209;-6.833;0.000;0.000;****
218;joincount_variance;6;26;233;413;1.008;0.314;0.314;ns
219;joincount_variance;13;26;209;413;8.641;0.000;0.000;****
220;joincount_zscore;5;6;198;227;8.800;0.000;0.000;****
221;joincount_zscore;5;13;198;203;5.527;0.000;0.000;****
222;joincount_zscore;5;26;198;413;14.616;0.000;0.000;****
223;joincount_zscore;6;13;227;203;-3.143;0.002;0.002;**
224;joincount_zscore;6;26;227;413;4.934;0.000;0.000;****
225;joincount_zscore;13;26;203;413;8.298;0.000;0.000;****
226;log_R2_1;5;6;204;238;-1.460;0.144;0.173;ns
227;log_R2_1;5;13;204;211;3.028;0.002;0.007;**
228;log_R2_1;5;26;204;420;0.933;0.351;0.351;ns
229;log_R2_1;6;13;238;211;4.617;0.000;0.000;****
230;log_R2_1;6;26;238;420;2.698;0.007;0.014;*
231;log_R2_1;13;26;211;420;-2.580;0.010;0.015;*
232;maxDist_toBorder_centr;5;6;203;233;7.151;0.000;0.000;****
233;maxDist_toBorder_centr;5;13;203;209;14.434;0.000;0.000;****
234;maxDist_toBorder_centr;5;26;203;413;28.467;0.000;0.000;****
235;maxDist_toBorder_centr;6;13;233;209;7.723;0.000;0.000;****
236;maxDist_toBorder_centr;6;26;233;413;21.402;0.000;0.000;****
237;maxDist_toBorder_centr;13;26;209;413;11.990;0.000;0.000;****
238;mean_lnLac;5;6;204;238;7.663;0.000;0.000;****
239;mean_lnLac;5;13;204;211;7.179;0.000;0.000;****
240;mean_lnLac;5;26;204;418;12.368;0.000;0.000;****
241;mean_lnLac;6;13;238;211;-0.278;0.781;0.781;ns
242;mean_lnLac;6;26;238;418;4.004;0.000;0.000;****
243;mean_lnLac;13;26;211;418;4.162;0.000;0.000;****
244;mean_prob_cooccur;5;6;202;226;-9.641;0.000;0.000;****
245;mean_prob_cooccur;5;13;202;202;-14.613;0.000;0.000;****
246;mean_prob_cooccur;5;26;202;412;-10.475;0.000;0.000;****
247;mean_prob_cooccur;6;13;226;202;-5.376;0.000;0.000;****
248;mean_prob_cooccur;6;26;226;412;0.408;0.683;0.683;ns
249;mean_prob_cooccur;13;26;202;412;6.453;0.000;0.000;****
250;minDist_toBorder_border;5;6;203;233;2.771;0.006;0.008;**
251;minDist_toBorder_border;5;13;203;209;-1.037;0.300;0.300;ns
252;minDist_toBorder_border;5;26;203;413;-2.805;0.005;0.008;**
253;minDist_toBorder_border;6;13;233;209;-3.865;0.000;0.000;***
254;minDist_toBorder_border;6;26;233;413;-6.182;0.000;0.000;****
255;minDist_toBorder_border;13;26;209;413;-1.629;0.103;0.124;ns
256;minDist_toBorder_centr;5;6;203;233;-10.299;0.000;0.000;****
257;minDist_toBorder_centr;5;13;203;209;-12.346;0.000;0.000;****
258;minDist_toBorder_centr;5;26;203;413;-0.531;0.595;0.595;ns
259;minDist_toBorder_centr;6;13;233;209;-2.391;0.017;0.020;*
260;minDist_toBorder_centr;6;26;233;413;11.513;0.000;0.000;****
261;minDist_toBorder_centr;13;26;209;413;13.795;0.000;0.000;****
262;morans_I;5;6;199;233;4.979;0.000;0.000;****
263;morans_I;5;13;199;203;2.684;0.007;0.009;**
264;morans_I;5;26;199;413;20.291;0.000;0.000;****
265;morans_I;6;13;233;203;-2.217;0.027;0.027;*
266;morans_I;6;26;233;413;15.504;0.000;0.000;****
267;morans_I;13;26;203;413;17.303;0.000;0.000;****
268;morans_I_p;5;6;199;233;-14.795;0.000;0.000;****
269;morans_I_p;5;13;199;203;-3.451;0.001;0.001;***
270;morans_I_p;5;26;199;413;-23.012;0.000;0.000;****
