"","verbatimIdentification","scientificName","ScientificName2010","ScientificName2018","BirdTree","tip.label"
"429","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus_exilis"
"430","Vermivora ruficapilla","Leiothlypis ruficapilla","Vermivora ruficapilla","Leiothlypis ruficapilla","Vermivora ruficapilla","Vermivora_ruficapilla"
"431","Vireo griseus","Vireo griseus","Vireo griseus","Vireo griseus","Vireo griseus","Vireo_griseus"
"432","Vireo flavifrons","Vireo flavifrons","Vireo flavifrons","Vireo flavifrons","Vireo flavifrons","Vireo_flavifrons"
"433","Regulus satrapa","Regulus satrapa","Regulus satrapa","Regulus satrapa","Regulus satrapa","Regulus_satrapa"
"434","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus_ustulatus"
"435","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus_ustulatus"
"436","Chordeiles minor","Chordeiles minor","Chordeiles minor","Chordeiles minor","Chordeiles minor","Chordeiles_minor"
"437","Pandion haliaetus","Pandion haliaetus","Pandion haliaetus","Pandion haliaetus","Pandion haliaetus","Pandion_haliaetus"
"438","Parula americana","Setophaga americana","Parula americana","Setophaga americana","Parula americana","Parula_americana"
"439","Podilymbus podiceps","Podilymbus podiceps","Podilymbus podiceps","Podilymbus podiceps","Podilymbus podiceps","Podilymbus_podiceps"
"440","Oxyura jamaicensis","Oxyura jamaicensis","Oxyura jamaicensis","Oxyura jamaicensis","Oxyura jamaicensis","Oxyura_jamaicensis"
"441","Oxyura jamaicensis","Oxyura jamaicensis","Oxyura jamaicensis","Oxyura jamaicensis","Oxyura jamaicensis","Oxyura_jamaicensis"
"442","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus_lentiginosus"
"443","Aythya collaris","Aythya collaris","Aythya collaris","Aythya collaris","Aythya collaris","Aythya_collaris"
"444","Gavia immer","Gavia immer","Gavia immer","Gavia immer","Gavia immer","Gavia_immer"
"445","Dendroica pinus","Setophaga pinus","Dendroica pinus","Setophaga pinus","Dendroica pinus","Dendroica_pinus"
"446","Spizella pallida","Spizella pallida","Spizella pallida","Spizella pallida","Spizella pallida","Spizella_pallida"
"447","Spiza americana","Spiza americana","Spiza americana","Spiza americana","Spiza americana","Spiza_americana"
"448","Dendroica cerulea","Setophaga cerulea","Dendroica cerulea","Setophaga cerulea","Dendroica cerulea","Dendroica_cerulea"
"449","Icteria virens","Icteria virens","Icteria virens","Icteria virens","Icteria virens","Icteria_virens"
"450","Anas americana","Mareca americana","Anas americana","Mareca americana","Anas americana","Anas_americana"
"451","Larus argentatus","Larus argentatus","Larus argentatus","Larus argentatus","Larus argentatus","Larus_argentatus"
"452","Larus argentatus","Larus argentatus","Larus argentatus","Larus argentatus","Larus argentatus","Larus_argentatus"
"453","Larus marinus","Larus marinus","Larus marinus","Larus marinus","Larus marinus","Larus_marinus"
"454","Hydropogne caspia","Hydroprogne caspia","Sterna caspia","Hydroprogne caspia","Sterna caspia","Sterna_caspia"
"455","Hydroprogne caspia","Hydroprogne caspia","Sterna caspia","Hydroprogne caspia","Sterna caspia","Sterna_caspia"
"456","Vermivora chrysoptera","Vermivora chrysoptera","Vermivora chrysoptera","Vermivora chrysoptera","Vermivora chrysoptera","Vermivora_chrysoptera"
"457","Dendroica discolor","Setophaga discolor","Dendroica discolor","Setophaga discolor","Dendroica discolor","Dendroica_discolor"
"458","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","Aegolius_acadicus"
"459","Oporornis formosus","Geothlypis formosa","Oporornis formosus","Geothlypis formosa","Oporornis formosus","Oporornis_formosus"
"460","Rallus elegans","Rallus elegans","Rallus elegans","Rallus elegans","Rallus elegans","Rallus_elegans"
"461","Rallus elegans","Rallus elegans","Rallus elegans","Rallus elegans","Rallus elegans","Rallus_elegans"
"462","Regulus calendula","Corthylio calendula","Regulus calendula","Regulus calendula","Regulus calendula","Regulus_calendula"
"463","Larus delawarensis","Larus delawarensis","Larus delawarensis","Larus delawarensis","Larus delawarensis","Larus_delawarensis"
"464","Phalacrocorax auritus","Nannopterum auritus","Phalacrocorax auritus","Nannopterum auritus","Phalacrocorax auritus","Phalacrocorax_auritus"
"465","Ardea alba","Ardea alba","Casmerodius albus","Ardea alba","Casmerodius albus","Casmerodius_albus"
"466","Aquila chrysaetos","Aquila chrysaetos","Aquila chrysaetos","Aquila chrysaetos","Aquila chrysaetos","Aquila_chrysaetos"
"467","Egretta thula","Egretta thula","Egretta thula","Egretta thula","Egretta thula","Egretta_thula"
"468","Caprimulgus vociferus","Antrostomus vociferus","Caprimulgus vociferus","Antrostomus vociferus","Caprimulgus vociferus","Caprimulgus_vociferus"
"469","Dendroica dominica","Setophaga dominica","Dendroica dominica","Setophaga dominica","Dendroica dominica","Dendroica_dominica"
"470","Helmitheros vermivorum","Helmitheros vermivorum","Helmitheros vermivorum","Helmitheros vermivorum","Helmitheros vermivorum","Helmitheros_vermivorum"
"471","Aythya americana","Aythya americana","Aythya americana","Aythya americana","Aythya americana","Aythya_americana"
"472","Aythya affinis","Aythya affinis","Aythya affinis","Aythya affinis","Aythya affinis","Aythya_affinis"
"473","Lanius ludovicianus","Lanius ludovicianus","Lanius ludovicianus","Lanius ludovicianus","Lanius ludovicianus","Lanius_ludovicianus"
"474","Sturnella neglecta","Sturnella neglecta","Sturnella neglecta","Sturnella neglecta","Sturnella neglecta","Sturnella_neglecta"
"475","Loxia leucoptera","Loxia leucoptera","Loxia leucoptera","Loxia leucoptera","Loxia leucoptera","Loxia_leucoptera"
"476","Corvus ossifragus","Corvus ossifragus","Corvus ossifragus","Corvus ossifragus","Corvus ossifragus","Corvus_ossifragus"
"477","Mergus serrator","Mergus serrator","Mergus serrator","Mergus serrator","Mergus serrator","Mergus_serrator"
"478","Aythya valisineria","Aythya valisineria","Aythya valisineria","Aythya valisineria","Aythya valisineria","Aythya_valisineria"
"479","Bubulcus ibis","Bubulcus ibis","Bubulcus ibis","Bubulcus ibis","Bubulcus ibis","Bubulcus_ibis"
"480","Charadrius melodus","Charadrius melodus","Charadrius melodus","Charadrius melodus","Charadrius melodus","Charadrius_melodus"
"481","Contopus cooperi","Contopus cooperi","Contopus cooperi","Contopus cooperi","Contopus cooperi","Contopus_cooperi"
"482","Empidonax flaviventris","Empidonax flaviventris","Empidonax flaviventris","Empidonax flaviventris","Empidonax flaviventris","Empidonax_flaviventris"
"483","Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii","Melospiza_lincolnii"
"484","Vireo philadelphicus","Vireo philadelphicus","Vireo philadelphicus","Vireo philadelphicus","Vireo philadelphicus","Vireo_philadelphicus"
"485","Euphagus carolinus","Euphagus carolinus","Euphagus carolinus","Euphagus carolinus","Euphagus carolinus","Euphagus_carolinus"
"486","Poecile hudsonicus","Poecile hudsonicus","Parus hudsonicus","Poecile hudsonicus","Parus hudsonicus","Parus_hudsonicus"
"487","Picoides arcticus","Picoides arcticus","Picoides arcticus","Picoides arcticus","Picoides arcticus","Picoides_arcticus"
"488","Dendroica castanea","Setophaga castanea","Dendroica castanea","Setophaga castanea","Dendroica castanea","Dendroica_castanea"
"489","Dendroica striata","Setophaga striata","Dendroica striata","Setophaga striata","Dendroica striata","Dendroica_striata"
"490","Perisoreus canadensis","Perisoreus canadensis","Perisoreus canadensis","Perisoreus canadensis","Perisoreus canadensis","Perisoreus_canadensis"
"491","Vermivora peregrina","Leiothlypis peregrina","Vermivora peregrina","Leiothlypis peregrina","Vermivora peregrina","Vermivora_peregrina"
"492","Dendroica palmarum","Setophaga palmarum","Dendroica palmarum","Setophaga palmarum","Dendroica palmarum","Dendroica_palmarum"
"493","Catharus bicknelli","Catharus bicknelli","Catharus bicknelli","Catharus bicknelli","Catharus bicknelli","Catharus_bicknelli"
"494","Dendroica tigrina","Setophaga tigrina","Dendroica tigrina","Setophaga tigrina","Dendroica tigrina","Dendroica_tigrina"
"495","Passerina caerulea","Passerina caerulea","Passerina caerulea","Passerina caerulea","Passerina caerulea","Passerina_caerulea"
"496","Wilsonia pusilla","Cardellina pusilla","Wilsonia pusilla","Cardellina pusilla","Wilsonia pusilla","Wilsonia_pusilla"
"497","Quiscalus major","Quiscalus major","Quiscalus major","Quiscalus major","Quiscalus major","Quiscalus_major"
"498","Caprimulgus carolinensis","Antrostomus carolinensis","Caprimulgus carolinensis","Antrostomus carolinensis","Caprimulgus carolinensis","Caprimulgus_carolinensis"
"499","Ammodramus caudacutus","Ammospiza caudacuta","Ammodramus caudacutus","Ammospiza caudacuta","Ammodramus caudacutus","Ammodramus_caudacutus"
"500","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus_longirostris"
"501","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus_longirostris"
"502","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus_longirostris"
"503","Leucophaeus atricilla","Larus atricilla","Larus atricilla","Larus atricilla","Larus atricilla","Larus_atricilla"
"504","Plegadis falcinellus","Plegadis falcinellus","Plegadis falcinellus","Plegadis falcinellus","Plegadis falcinellus","Plegadis_falcinellus"
"505","Haematopus palliatus","Haematopus palliatus","Haematopus palliatus","Haematopus palliatus","Haematopus palliatus","Haematopus_palliatus"
"506","Tringa semipalmata","Tringa semipalmata","Catoptrophorus semipalmatus","Tringa semipalmata","Catoptrophorus semipalmatus","Catoptrophorus_semipalmatus"
"507","Nyctanassa violacea","Nyctanassa violacea","Nyctanassa violacea","Nyctanassa violacea","Nyctanassa violacea","Nyctanassa_violacea"
"508","Egretta caerulea","Egretta caerulea","Egretta caerulea","Egretta caerulea","Egretta caerulea","Egretta_caerulea"
"509","Ammodramus maritimus","Ammospiza maritima","Ammodramus maritimus","Ammospiza maritima","Ammodramus maritimus","Ammodramus_maritimus"
"510","Egretta tricolor","Egretta tricolor","Egretta tricolor","Egretta tricolor","Egretta tricolor","Egretta_tricolor"
"511","Piranga rubra","Piranga rubra","Piranga rubra","Piranga rubra","Piranga rubra","Piranga_rubra"
"512","Rynchops niger","Rynchops niger","Rynchops niger","Rynchops niger","Rynchops niger","Rynchops_niger"
"513","Sternula antillarum","Sternula antillarum","Sterna antillarum","Sternula antillarum","Sterna antillarum","Sterna_antillarum"
"514","Gelochelidon nilotica","Gelochelidon nilotica","Sterna nilotica","Gelochelidon nilotica","Sterna nilotica","Sterna_nilotica"
"515","Sterna forsteri","Sterna forsteri","Sterna forsteri","Sterna forsteri","Sterna forsteri","Sterna_forsteri"
"516","Sterna dougallii","Sterna dougallii","Sterna dougallii","Sterna dougallii","Sterna dougallii","Sterna_dougallii"
"517","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus_jamaicensis"
"518","Pycnonotus sinensis","Pycnonotus sinensis","Pycnonotus sinensis","Pycnonotus sinensis","Pycnonotus sinensis","Pycnonotus_sinensis"
"519","Cettia diphone","Horornis diphone","Cettia diphone","Horornis diphone","Cettia diphone","Cettia_diphone"
"520","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis_phoenicurus"
"521","Anas zonorhyncha","Anas zonorhyncha",NA,"Anas zonorhyncha","Anas poecilorhyncha","Anas_poecilorhyncha"
"522","Terpsiphone atrocaudata","Terpsiphone atrocaudata","Terpsiphone atrocaudata","Terpsiphone atrocaudata","Terpsiphone atrocaudata","Terpsiphone_atrocaudata"
"523","Lanius bucephalus","Lanius bucephalus","Lanius bucephalus","Lanius bucephalus","Lanius bucephalus","Lanius_bucephalus"
"524","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius_alexandrinus"
